2012-??-??, 201?-??-??, university of northern colorado,
    2012-??-??, 2012-??-??, Dining Services,
    201?-??-??, 201?-??-??, UNCO Bookstore,

2014-01-14, 2014-04-17, united states army,
    2014-03-03, 2014-04-17, IET,

201?-??-??, 201?-??-??, starbucks,

201?-??-??, 201?-??-??, buffalo wild wings,
    201?-??-??, 201?-??-??, Host,
    201?-??-??, 201?-??-??, Server,

2016-??-??, 2016-??-??, kimobean,

2016-??-??, 2016-12-??, sun valley company,
    2016-??-??, 2016-??-??, Gretchen's,
    2016-??-??, 2016-??-??, Ice Show Server,
    2016-??-??, 2016-??-??, Konditorei,
    2016-??-??, 2016-??-??, Concierge,
    2016-??-??, 2016-12-??, Poolside Bar & Cafe,

2017-01-??, 2018-??-??, conduent,

2017-03-31, 2020-12-17, national guard,
    2017-09-05, 2018-05-18, IET,
    2018-??-??, 2018-??-??, ADOS Command Simulation,
    2018-??-??, 2018-10-??, TDY Cambodia,
    2019-01-??, 2019-01-??, ???? Idaho Youth Challenge Academy,
    2019-03-16, 2019-03-22, ADOS 68W Sustainment,
    ????-??-??, ????-??-??, ADOS Medical support for WOCS,
    2019-05-??, 2019-06-??, TDY NTC,
    2019-07-25, 2020-06-17, TL32 68A AIT,
    2020-09-01, 2020-09-30, ADOS Biomedical SOP development,
    2020-12-18, 2021-05-15, TL32 COVID Response,

2018-??-??, 202?-??-??, independent,
    ????, ????, Amazon Flex,
    ????, ????, Lyft,
    ????, ????, Uber Eats,
    ????, ????, DoorDash,
    ????, ????, Walmart Spark,
    ????, ????, GrubHub,
    ????, ????, Postmates,
